epoch,train_dro_loss,train_worst_group_loss,q0,q1,q2,q3,val_worst_group_loss,val_group0_loss,val_group1_loss,val_group2_loss,val_group3_loss
1,0.6844329434506436,0.9334385483822925,0.2623771131038666,0.2369024008512497,0.25471755862236023,0.2460029423236847,0.7564917206764221,0.6029141545295715,0.7035912275314331,0.5805290341377258,0.7564917206764221
2,0.5965193085213925,0.8265570402145386,0.26214319467544556,0.23472344875335693,0.2533055245876312,0.2498277872800827,0.7346696853637695,0.5500968098640442,0.7268458008766174,0.5777837038040161,0.7346696853637695
3,0.5871152224692893,0.8218618263589575,0.2593660354614258,0.23663736879825592,0.2518664598464966,0.2521301507949829,0.6969949007034302,0.555510401725769,0.6969949007034302,0.5956897735595703,0.6939982175827026
4,0.563960611820221,0.7894461693915915,0.2568296790122986,0.23762822151184082,0.25226303935050964,0.2532790005207062,0.7158936262130737,0.5372836589813232,0.712558925151825,0.5781405568122864,0.7158936262130737
5,0.544758234886413,0.7485453346942333,0.25454410910606384,0.23433706164360046,0.25356394052505493,0.25755491852760315,0.714161217212677,0.5401744246482849,0.714161217212677,0.6146183013916016,0.6785237193107605
6,0.541855551460956,0.7626857415158698,0.2522132992744446,0.2372530698776245,0.2581315040588379,0.2524021565914154,0.7952459454536438,0.4723902642726898,0.7952459454536438,0.5161547064781189,0.7931389808654785
7,0.5329863004227902,0.7450699844258897,0.24795395135879517,0.24207784235477448,0.25773072242736816,0.2522375285625458,0.7602776885032654,0.4896091818809509,0.7549770474433899,0.5336796641349792,0.7602776885032654
8,0.533475545492578,0.7474825039823004,0.2450357973575592,0.24380582571029663,0.25892171263694763,0.25223666429519653,0.6573460102081299,0.5592710971832275,0.6560473442077637,0.6063883304595947,0.6573460102081299
9,0.5264605182282468,0.7298974914753691,0.2433430701494217,0.24619977176189423,0.2591497600078583,0.2513074576854706,0.7595333456993103,0.5165134072303772,0.7243573665618896,0.5364122986793518,0.7595333456993103
10,0.5328870751756303,0.7746172731227063,0.24155813455581665,0.2507363557815552,0.25742489099502563,0.2502806484699249,0.8231676816940308,0.5027380585670471,0.7419987320899963,0.5040838718414307,0.8231676816940308
11,0.5328182673200648,0.7367261800360172,0.24204565584659576,0.2481653243303299,0.2553597390651703,0.25442934036254883,0.7116554379463196,0.5748036503791809,0.6449577808380127,0.5738718509674072,0.7116554379463196
12,0.5204060895645872,0.7427639517378299,0.24363769590854645,0.24805855751037598,0.2544567584991455,0.25384700298309326,0.8396615386009216,0.49081310629844666,0.7585111260414124,0.48922789096832275,0.8396615386009216
13,0.5114033945063328,0.7031949067369421,0.2463260293006897,0.24587903916835785,0.25480303168296814,0.2529919147491455,0.8089914917945862,0.5087118148803711,0.7453328967094421,0.507729172706604,0.8089914917945862
14,0.5170088109183819,0.7477607118322495,0.24437719583511353,0.24537470936775208,0.25387299060821533,0.2563750743865967,0.7530428171157837,0.53156977891922,0.7198356986045837,0.5634300112724304,0.7530428171157837
15,0.49895423840969166,0.6978456752097353,0.24494481086730957,0.24440918862819672,0.2559836208820343,0.2546623945236206,0.7809174060821533,0.5094801187515259,0.7327967882156372,0.5228875875473022,0.7809174060821533
16,0.504615881975661,0.7191756342319732,0.2454519271850586,0.2422654926776886,0.25597140192985535,0.25631120800971985,0.9178521633148193,0.4507697820663452,0.8454898595809937,0.45263704657554626,0.9178521633148193
17,0.504123550780276,0.7217603668253473,0.2445341944694519,0.2398289442062378,0.2561018466949463,0.259535014629364,0.73594069480896,0.5268282294273376,0.7064673900604248,0.5611205697059631,0.73594069480896
18,0.47454464498986587,0.6790662674193687,0.2443481981754303,0.23712731897830963,0.2583470344543457,0.2601774334907532,0.7632492780685425,0.5005096197128296,0.7515952587127686,0.5472369194030762,0.7632492780685425
19,0.4957844399391337,0.6948510338651374,0.24354732036590576,0.2385103702545166,0.2611224055290222,0.2568199634552002,0.8011661767959595,0.49460214376449585,0.7738682627677917,0.5255126953125,0.8011661767959595
20,0.4967304176472603,0.7029253979946705,0.24232004582881927,0.23768149316310883,0.2611936032772064,0.2588047981262207,0.9339489340782166,0.43430328369140625,0.8823615908622742,0.4567202031612396,0.9339489340782166
21,0.48813141660487397,0.6849455573457353,0.24174311757087708,0.24328429996967316,0.26193004846572876,0.2530425190925598,0.8959206342697144,0.4672088027000427,0.8153917789459229,0.4678111970424652,0.8959206342697144
22,0.4872797492970812,0.6883490345579513,0.2423810362815857,0.2429616004228592,0.26089656352996826,0.2537606954574585,0.9341256618499756,0.46370217204093933,0.8345845937728882,0.46246203780174255,0.9341256618499756
23,0.470771276570381,0.6922111473184951,0.24218346178531647,0.24636773765087128,0.2608849108219147,0.2505638897418976,0.8503385782241821,0.4802456796169281,0.8006035685539246,0.4994139075279236,0.8503385782241821
24,0.46594789877850956,0.6428553975642995,0.24475383758544922,0.24594208598136902,0.2619240880012512,0.24738004803657532,0.8760275840759277,0.4898907542228699,0.7943814992904663,0.4746607542037964,0.8760275840759277
25,0.46777195055434045,0.6368937828439347,0.24661511182785034,0.24385161697864532,0.26179203391075134,0.2477412074804306,0.9168319702148438,0.4698731601238251,0.826802670955658,0.4638073444366455,0.9168319702148438
26,0.4631469579453164,0.6616851243566959,0.24773751199245453,0.2449973225593567,0.2606230080127716,0.2466420829296112,0.8967330455780029,0.4785354733467102,0.8178375363349915,0.4764079749584198,0.8967330455780029
